Date,Temperature
1895,26.69
1896,31.48
1897,28.17
1898,30.67
1899,29.68
1900,34.11
1901,31.62
1902,30.06
1903,30.88
1904,27.55
1905,27.12
1906,32.88
1907,30.7
1908,32.45
1909,32.31
1910,29.61
1911,32.9
1912,24.76
1913,30.47
1914,34.5
1915,28.44
1916,28.22
1917,28.27
1918,23.88
1919,31.82
1920,29.23
1921,34.36
1922,26.8
1923,34.59
1924,26.26
1925,29.1
1926,30.33
1927,31.55
1928,31.98
1929,26.33
1930,23.56
1931,32.99
1932,31.55
1933,34.3
1934,35.08
1935,31.51
1936,27.36
1937,24.84
1938,32.14
1939,33.91
1940,23.83
1941,32.2
1942,29.84
1943,29.41
1944,32.02
1945,30.49
1946,31.39
1947,31.78
1948,27.88
1949,25.92
1950,30.43
1951,30.2
1952,32.0
1953,36.43
1954,30.9
1955,29.35
1956,31.01
1957,27.07
1958,31.6
1959,29.5
1960,29.46
1961,29.71
1962,26.96
1963,24.44
1964,31.53
1965,31.8
1966,26.38
1967,33.1
1968,28.94
1969,29.37
1970,27.16
1971,29.41
1972,29.93
1973,29.59
1974,31.01
1975,32.34
1976,29.93
1977,23.09
1978,25.86
1979,21.92
1980,31.12
1981,32.41
1982,26.22
1983,33.12
1984,28.83
1985,26.31
1986,34.68
1987,31.44
1988,27.79
1989,34.09
1990,36.48
1991,29.5
1992,33.62
1993,30.47
1994,29.34
1995,33.08
1996,29.7
1997,29.97
1998,34.99
1999,33.78
2000,33.57
2001,31.37
2002,34.48
2003,32.81
2004,30.36
2005,33.39
2006,38.93
2007,31.35
2008,30.27
2009,31.05
2010,30.67
2011,29.71
2012,36.12
2013,32.25
2014,30.56
2015,33.08
2016,32.22
2017,33.57
2018,32.16
2019,32.56
2020,35.53
2021,34.59
2022,31.17
2023,35.08
2024,31.89
2025,29.23
